code;nom;annee;niveau_arborescence
8120;Régime spécial de Sécurité Sociale;2020;3
5191;Société de caution mutuelle;2020;3
32;Personne morale de droit étranger, non immatriculée au RCS;2020;2
5515;SA d'économie mixte à conseil d'administration;2020;3
7490;Autre personne morale de droit administratif;2020;3
91;Syndicat de propriétaires;2020;2
5194;Caisse (fédérale) de crédit mutuel;2020;3
5308;Société en commandite par actions;2020;3
4140;Établissement public local à caractère industriel ou commercial;2020;3
6578;SCP d'architectes;2020;3
6537;Groupement pastoral;2020;3
6571;SCP de médecins;2020;3
6596;Caisse de crédit agricole mutuel;2020;3
5655;SA coopérative de transport à directoire;2020;3
5522;SA immobilière pour le commerce et l'industrie (SICOMI) à conseil d'administration;2020;3
62;Groupement d'intérêt économique;2020;2
2385;Société en participation de professions libérales;2020;3
6554;Société civile coopérative d'intérêt maritime;2020;3
7347;Communauté de villes;2020;3
2120;Indivision avec personne morale;2020;3
5552;SA coopérative de commerçants-détaillants à conseil d'administration;2020;3
5203;Société en nom collectif coopérative;2020;3
5620;Fonds à forme sociétale à directoire;2020;3
5699;SA à directoire (s.a.i.);2020;3
6573;SCP d'infirmiers;2020;3
6551;Société civile coopérative de consommation;2020;3
5553;SA coopérative artisanale à conseil d'administration;2020;3
2220;Société créée de fait avec personne morale;2020;3
22;Société créée de fait;2020;2
5646;SA de HLM à directoire;2020;3
2110;Indivision entre personnes physiques;2020;3
4150;Régie d'une collectivité locale à caractère industriel ou commercial;2020;3
5442;SARL d'attribution;2020;3
6535;Groupement agricole foncier;2020;3
6540;Société civile immobilière;2020;3
3220;Société étrangère non immatriculée au RCS;2020;3
8520;Institution de retraite supplémentaire;2020;3
7345;Syndicat intercommunal à vocation multiple (SIVOM);2020;3
9240;Congrégation;2020;3
2310;Société en participation entre personnes physiques;2020;3
6562;SCP d'avocats aux conseils;2020;3
8290;Autre organisme mutualiste;2020;3
7367;Centre Intercommunal d'action sociale (CIAS);2020;3
7160;Service déconcentré à compétence nationale d'un ministère (hors Défense);2020;3
5470;Société de Participations Financières de Profession Libérale Société à responsabilité limitée (SPFPL SARL);2020;3
81;Organisme gérant un régime de protection sociale à adhésion obligatoire;2020;2
5310;Société en libre partenariat (SLP);2020;3
5643;SA coopérative de construction à directoire;2020;3
41;Etablissement public ou régie à caractère industriel ou commercial;2020;2
57;Société par actions simplifiée;2020;2
5654;SA coopérative d'intérêt maritime à directoire;2020;3
5659;SA union de sociétés coopératives à directoire;2020;3
7357;Pôle d'équilibre territorial et rural (PETR);2020;3
9221;Association déclarée d'insertion par l'économique;2020;3
5459;SARL union de sociétés coopératives;2020;3
4110;Établissement public national à caractère industriel ou commercial doté d'un comptable public;2020;3
7150;Service du ministère de la Défense;2020;3
5196;Caisse d'épargne et de prévoyance à forme coopérative;2020;3
7111;Autorité constitutionnelle;2020;3
5622;SA immobilière pour le commerce et l'industrie (SICOMI) à directoire;2020;3
7179;(Autre) Service déconcentré de l'État à compétence territoriale;2020;3
8470;Centre technique industriel ou comité professionnel du développement économique;2020;3
7364;Établissement d'hospitalisation;2020;3
5652;SA coopérative de commerçants-détaillants à directoire;2020;3
9110;Syndicat de copropriété;2020;3
3205;Organisation internationale;2020;3
8160;Régime vieillesse ne dépendant pas du régime général de la Sécurité Sociale;2020;3
7383;Établissement public national à caractère scientifique culturel et professionnel;2020;3
5710;SAS, société par actions simplifiée;2020;3
6572;SCP de dentistes;2020;3
29;Autre groupement de droit privé non doté de la personnalité morale;2020;2
7344;Métropole;2020;3
7353;Syndicat intercommunal à vocation unique (SIVU);2020;3
23;Société en participation;2020;2
7340;Pôle métropolitain;2020;3
85;Organisme de retraite à adhésion non obligatoire;2020;2
6536;Groupement forestier;2020;3
6574;SCP de masseurs-kinésithérapeutes;2020;3
5653;SA coopérative artisanale à directoire;2020;3
3210;État, collectivité ou établissement public étranger;2020;3
5658;SA coopérative ouvrière de production (SCOP) à directoire;2020;3
4160;Institution Banque de France;2020;3
24;Fiducie;2020;2
5648;SA de crédit immobilier à directoire;2020;3
5670;Société de Participations Financières de Profession Libérale Société anonyme à Directoire (SPFPL SA à directoire);2020;3
27;Paroisse hors zone concordataire;2020;2
5455;SARL coopérative de transport;2020;3
7341;Secteur de commune;2020;3
6577;SCP de géomètres experts;2020;3
71;Administration de l'état;2020;2
5785;Société d'exercice libéral par action simplifiée;2020;3
5547;SA coopérative de production de HLM à conseil d'administration;2020;3
5631;SA mixte d'intérêt agricole (SMIA);2020;3
5685;Société d'exercice libéral à forme anonyme à directoire;2020;3
9230;Association déclarée, reconnue d'utilité publique;2020;3
6568;SCP de conseils juridiques;2020;3
6542;Société civile d'attribution;2020;3
7349;Autre établissement public local de coopération non spécialisé ou entente;2020;3
7210;Commune et commune nouvelle;2020;3
92;Association loi 1901 ou assimilé;2020;2
5202;Société en nom collectif;2020;3
7321;Association syndicale autorisée;2020;3
6544;Société civile immobilière d' accession progressive à la propriété;2020;3
3110;Représentation ou agence commerciale d'état ou organisme public étranger immatriculé au RCS;2020;3
5647;Société coopérative de production de HLM anonyme à directoire;2020;3
5385;Société d'exercice libéral en commandite par actions;2020;3
5546;SA de HLM à conseil d'administration;2020;3
5585;Société d'exercice libéral à forme anonyme à conseil d'administration;2020;3
5432;SARL d'intérêt collectif agricole (SICA);2020;3
5415;SARL d'économie mixte;2020;3
6569;SCP de commissaires aux comptes;2020;3
7373;Établissement public local culturel;2020;3
65;Société civile;2020;2
7190;Ecole nationale non dotée de la personnalité morale;2020;3
9224;Association d'avocats à responsabilité professionnelle individuelle;2020;3
5430;SARL d'aménagement foncier et d'équipement rural (SAFER);2020;3
8420;Syndicat patronal;2020;3
7220;Département;2020;3
7385;Autre établissement public national administratif à compétence territoriale limitée;2020;3
5499;Société à responsabilité limitée (sans autre indication);2020;3
8130;Institution de retraite complémentaire;2020;3
6538;Groupement foncier et rural;2020;3
6317;Société coopérative agricole;2020;3
7120;Service central d'un ministère;2020;3
7230;Région;2020;3
7450;Etablissement public administratif, cercle et foyer dans les armées;2020;3
55;Société anonyme à conseil d'administration;2020;2
7346;Communauté de communes;2020;3
7314;Ensemble urbain;2020;3
5193;Caisse de crédit maritime mutuel;2020;3
7342;District urbain;2020;3
5605;SA à participation ouvrière à directoire;2020;3
5520;Fonds à forme sociétale à conseil d'administration;2020;3
2320;Société en participation avec personne morale;2020;3
7430;Établissement public des cultes d'Alsace-Lorraine;2020;3
10;Entrepreneur individuel;2020;2
9210;Association non déclarée;2020;3
6597;Société civile d'exploitation agricole;2020;3
69;Autre personne morale de droit privé inscrite au registre du commerce et des sociétés;2020;2
7348;Communauté d'agglomération;2020;3
3290;Autre personne morale de droit étranger;2020;3
5525;SA immobilière d'investissement à conseil d'administration;2020;3
7361;Centre communal d'action sociale;2020;3
7312;Commune associée et commune déléguée;2020;3
5307;Société en commandite simple coopérative;2020;3
7381;Organisme consulaire;2020;3
6411;Société d'assurance à forme mutuelle;2020;3
9300;Fondation;2020;3
7343;Communauté urbaine;2020;3
7362;Caisse des écoles;2020;3
5531;Société anonyme mixte d'intérêt agricole (SMIA) à conseil d'administration;2020;3
5560;Autre SA coopérative à conseil d'administration;2020;3
7229;(Autre) Collectivité territoriale;2020;3
7356;Commission syndicale pour la gestion des biens indivis des communes;2020;3
8310;Comité social économique d’entreprise;2020;3
8110;Régime général de la Sécurité Sociale;2020;3
5543;SA coopérative de construction à conseil d'administration;2020;3
7410;Groupement d'intérêt public (GIP);2020;3
7113;Ministère;2020;3
63;Société coopérative agricole;2020;2
5632;SA d'intérêt collectif agricole (SICA);2020;3
0000;Organisme de placement collectif en valeurs mobilières sans personnalité morale;2020;3
6316;Coopérative d'utilisation de matériel agricole en commun (CUMA);2020;3
5443;SARL coopérative de construction;2020;3
7372;Service départemental d'incendie et de secours (SDIS);2020;3
73;Etablissement public administratif;2020;2
6543;Société civile coopérative de construction;2020;3
2900;Autre groupement de droit privé non doté de la personnalité morale;2020;3
2400;Fiducie;2020;3
9220;Association déclarée;2020;3
7366;Établissement public local social et médico-social;2020;3
2210;Société créée de fait entre personnes physiques;2020;3
6541;Société civile immobilière de construction-vente;2020;3
56;Société anonyme à directoire;2020;2
72;Collectivité territoriale;2020;2
5532;SA d'intérêt collectif agricole (SICA) à conseil d'administration;2020;3
7382;Établissement public national ayant fonction d'administration centrale;2020;3
8410;Syndicat de salariés;2020;3
5559;SA union de sociétés coopératives à conseil d'administration;2020;3
84;Organisme professionnel;2020;2
82;Organisme mutualiste;2020;2
